"codigo_producto","descripcion_producto","ingrediente_forma","tipo_proyecto","subcategoria","categoria","tamaño_corte","peso_neto_caja","tamaño_paquete","cantidad_paquetes","peso_neto_paquete","caja_tipo_id","id_sencillo","caja_grosor_mm","caja_interior_largo","caja_interior_ancho","caja_interior_alto","caja_exterior_largo","caja_exterior_ancho","caja_exterior_alto","pallet_alto","pallet_ancho","pallet_largo","cantidad_cajas_alto","cantidad_cajas_largo","cantidad_cajas_ancho","cantidad_cajas_total","utilizacion","volumen_interior_caja_mm3","volumen_exterior_caja_mm3","volumen_pallet_mm3","perimetro_caja_m","headspace_max_pct","ect_n_m","carga_max_kg","volumen_producto_canal_servicios_comida","volumen_producto_canal_minorista","volumen_producto_canal_cadenas_corporativas","volumen_producto_canal_otros","volumen_producto_total","volumen_producto_planta_buenos_aires","volumen_producto_planta_curitiba","volumen_producto_planta_santiago","volumen_producto_planta_monterrey","volumen_producto_planta_bakersfield","cantidad_pallets_planta_buenos_aires","cantidad_pallets_planta_curitiba","cantidad_pallets_planta_santiago","cantidad_pallets_planta_monterrey","cantidad_pallets_planta_bakersfield","cantidad_pallets_total","costo_total_planta_buenos_aires","costo_total_planta_curitiba","costo_total_planta_santiago","costo_total_planta_monterrey","costo_total_planta_bakersfield","costo_pallets_planta_buenos_aires","costo_pallets_planta_curitiba","costo_pallets_planta_santiago","costo_pallets_planta_monterrey","costo_pallets_planta_bakersfield","costo_pallets_total","costo_total","capas_apiladas","peso_capas_superiores_kg","cumple_resistencia","utilizacion_cajas"
"BR0105","BonsaiGreen Bastones rectos de brocoli 9x9 mm 5 x 2,5 kg | Ref TJZ","Bastones rectos de brocoli","Estacional","Bastones clasicos - Legumes Frites","Bastones clasicos","Medio",12.5,"5 X 2,5 KG",5,2.5,"55b52b97c05b19dbbbefa191622fe36a",66,4.1,386,286,179,394.2,294.2,187.2,1800,800,1200,9,2,4,72,0.904594392,19760884,21710265.408,1728000000,1.3768,0.08,1200,168.415902140673,1002414,0,1783,0,1004197,304156,700041,0,0,0,4225,9723,0,0,0,13948,138390.98,318518.655,0,0,0,633750,1458450,0,0,0,2092200,456909.635,9,100,TRUE,0.0508174128242441
"BR0106","Bastones rectos de brocoli 13x13 mm - clasico - Caja de 5 packs de 2,5 kg | Ref TQN","Bastones rectos de brocoli","Estacional","Bastones extra crocantes - Atelier Frites","Bastones extra crocantes","Grueso",12.5,"5 X 2,5 KG",5,2.5,"371bc8e13ebaec61128f288334956fa5",41,4.5,391,255,230,400,264,239,1800,800,1200,7,2,4,56,0.817911111111111,22932150,25238400,1728000000,1.328,0.08,1400,189.520897043833,12591,0,1,0,12592,0,0,12592,0,0,0,0,225,0,0,225,0,0,9003.28,0,0,0,0,33750,0,0,33750,9003.28,7,75,TRUE,0.000549098100265348
"BR0107","Bastones rectos de brocoli - clasico - Caja de 2 packs de 5,25 kg","Bastones rectos de brocoli","Estacional","Bastones clasicos - Legumes Frites","Bastones clasicos","Medio",10.5,"2 X 5,25 KG",2,5.25,"35174969e008414733b7133a380c2f8c",38,4.5,391,255,240,400,264,249,1800,800,1200,7,2,4,56,0.852133333333333,23929200,26294400,1728000000,1.328,0.08,1400,189.520897043833,80644,0,0,922,81566,0,0,81566,0,0,0,0,1457,0,0,1457,0,0,47716.11,0,0,0,0,218550,0,0,218550,47716.11,7,63,TRUE,0.00340863881784598
"BR0108","11 bolsas de 1 kg | Brocoli en rejilla","Brocoli en rejilla","Forma estable","Bastones clasicos - Reserva Privada","Bastones clasicos","Forma",11,"11 X 1 KG",11,1,"a2c4cc4e764be062aaefa64a99695dbe",123,2.7,395,296,301,400,301.4,306.4,1800,800,1200,5,2,3,30,0.641312222222222,35192920,36939584,1728000000,1.4028,0.06,730,104.387767584098,0,11355,0,0,11355,0,11355,0,0,0,0,379,0,0,0,379,0,7494.3,0,0,0,0,56850,0,0,0,56850,7494.3,5,44,TRUE,0.000322650123945384
"BR0109","13 bolsas de 1 kg | Espirales de brocoli","Espirales de brocoli","Forma estable","Bastones clasicos - Sigilo","Bastones clasicos","Forma",13,"13 X 1 KG",13,1,"60eb77c934f99a121f410ec2037a2a46",77,2.7,395,296,306,400,301.4,311.4,1800,800,1200,5,2,3,30,0.6517775,35777520,37542384,1728000000,1.4028,0.06,730,104.387767584098,0,17891,0,0,17891,0,17891,0,0,0,0,597,0,0,0,597,0,11808.06,0,0,0,0,89550,0,0,0,89550,11808.06,5,52,TRUE,0.000500062609146749
"BR0110","5 bolsas de 2,5 kg | Bastones rectos de brocoli 9x9 mm | Ref Y78","Bastones rectos de brocoli","Estacional","Bastones clasicos - Reserva Privada","Bastones clasicos","Medio",12.5,"5 X 2,5 kg",5,2.5,"3826faf22304dbe5bef22f8c36155874",42,2.7,393,255,224,398.4,260.4,229.4,1800,800,1200,7,2,4,56,0.771255034666667,22448160,23798726.784,1728000000,1.3176,0.06,730,98.0477064220183,126269,0,0,0,126269,0,0,0,126269,0,0,0,0,2255,0,2255,0,0,0,53032.98,0,0,0,0,338250,0,338250,53032.98,7,75,TRUE,0.00562491536054625
"BR0111","Bastones rectos de brocoli 11x11 mm - clasico - Caja de 5 packs de 2,5 kg | Ref FLQ","Bastones rectos de brocoli","Estacional","Bastones clasicos - Reserva Privada","Bastones clasicos","Medio",12.5,"5 X 2,5 KG",5,2.5,"a130566667d4be7bb38053adaefea0af",119,2.7,393,255,204,398.4,260.4,209.4,1800,800,1200,8,2,4,64,0.804587392,20443860,21723859.584,1728000000,1.3176,0.06,730,98.0477064220183,214237,0,0,0,214237,0,47356,0,166881,0,0,740,0,2608,0,3348,0,22730.88,0,70090.02,0,0,111000,0,391200,0,502200,92820.9,8,87.5,TRUE,0.0104792832664673
"BR0112","5 bolsas de 2,5 kg | Bastones rectos de brocoli 9x18 mm | Ref 0FC","Bastones rectos de brocoli","Estacional","Bastones clasicos - Reserva Privada","Bastones clasicos","Corte steak",12.5,"5 X 2,5 KG",5,2.5,"f95687311339e4b9b0ef5622b26fd941",199,2.7,393,255,209,398.4,260.4,214.4,1800,800,1200,8,2,4,64,0.823799125333333,20944935,22242576.384,1728000000,1.3176,0.06,730,98.0477064220183,23107,0,0,0,23107,0,0,0,23107,0,0,0,0,362,0,362,0,0,0,9704.94,0,0,0,0,54300,0,54300,9704.94,8,87.5,TRUE,0.00110322614990211
"BR0113","5 bolsas de 2,5 kg | Bastones rectos de brocoli con cabo | Ref C2H","Bastones rectos de brocoli","Estacional","Bastones clasicos - Legumes Frites","Bastones clasicos","Grueso",12.5,"5 X 2,5 KG",5,2.5,"3f4b03b56bb388655f2cb1495b69f5d7",48,4.1,388,288,278,396.2,296.2,286.2,1800,800,1200,6,2,4,48,0.932967798,31064832,33586840.728,1728000000,1.3848,0.08,1200,169.394495412844,7783,0,0,0,7783,0,0,0,0,7783,0,0,0,0,163,163,0,0,0,0,5564.845,0,0,0,0,24450,24450,5564.845,6,62.5,TRUE,0.000250540546943888
"BR0114","5 bolsas de 1,75 kg | Tortitas de brocoli","Tortitas de brocoli","Forma estable","Guarniciones - Tortitas","Guarniciones","Forma",8.75,"5 X 1,75 KG",5,1.75,"d0098765b25906b02fe80a96f1e6e287",170,2.5,395,296,255,400,301,260,1800,800,1200,6,2,3,36,0.652166666666667,29814600,31304000,1728000000,1.402,0.06,600,85.7492354740061,9070,0,0,0,9070,9070,0,0,0,0,252,0,0,0,0,252,5986.2,0,0,0,0,37800,0,0,0,0,37800,5986.2,6,43.75,TRUE,0.000304213371972121
"BR0115","BonsaiGreen Brocoli en rejilla sazonado, picante, crocante 5 x 2,5 kg","Brocoli en rejilla","Forma estable","Bastones clasicos - Sigilo","Bastones clasicos","Forma",12.5,"5 X 2,5 KG",5,2.5,"ab2be01db2336d90876b25f646f81b48",132,4.1,386,286,283,394.2,294.2,291.2,1800,800,1200,6,2,4,48,0.938097888,31242068,33771523.968,1728000000,1.3768,0.08,1200,168.415902140673,51630,0,0,0,51630,0,0,51630,0,0,0,0,1076,0,0,1076,0,0,23491.65,0,0,0,0,161400,0,0,161400,23491.65,6,62.5,TRUE,0.00165257946432995
"BR0116","5 bolsas de 2,5 kg | Gajos de brocoli sazonado, picante, crocante","Gajos de brocoli","Forma estable","Bastones clasicos - Sigilo","Bastones clasicos","Forma",12.5,"5 X 2,5 KG",5,2.5,"116dda17a7b7fb82c62f462ef4a94218",6,4.1,386,286,164,394.2,294.2,172.2,1800,800,1200,10,2,4,80,0.92456763,18104944,19970660.808,1728000000,1.3768,0.08,1200,168.415902140673,6730,0,0,0,6730,0,6730,0,0,0,0,85,0,0,0,85,0,3062.15,0,0,0,0,12750,0,0,0,12750,3062.15,10,112.5,TRUE,0.000371721668954071
"BR0117","BonsaiGreen Espirales de brocoli sazonado, picante, crocante 5 x 2,5 kg","Espirales de brocoli","Forma estable","Bastones clasicos - Sigilo","Bastones clasicos","Forma",12.5,"5 X 2,5 KG",5,2.5,"ce9d9f5685ddf0df230b3137826b5cde",167,4.1,386,286,256,394.2,294.2,264.2,1800,800,1200,6,2,4,48,0.851117658,28261376,30640235.688,1728000000,1.3768,0.08,1200,168.415902140673,28815,0,0,0,28815,0,0,28815,0,0,0,0,601,0,0,601,0,0,13110.825,0,0,0,0,90150,0,0,90150,13110.825,6,62.5,TRUE,0.00101958942126526
"BR0118","Espirales de brocoli - clasico - Caja de 13 packs de 0,5 kg | Ref 57C","Espirales de brocoli","Forma estable","Bastones clasicos - Sigilo","Bastones clasicos","Forma",6.5,"13 X 0,5 KG",13,0.5,"5752498adef915345dabc54b32edf146",68,2.7,395,296,219,400,301.4,224.4,1800,800,1200,8,2,3,48,0.751490666666667,25605480,27053664,1728000000,1.4028,0.06,730,104.387767584098,0,16633,0,0,16633,0,16633,0,0,0,0,347,0,0,0,347,0,8981.82,0,0,0,0,52050,0,0,0,52050,8981.82,8,45.5,TRUE,0.000649587510173603
"BR0119","BonsaiGreen Bastones rectos de brocoli 5 x 2,5 kg | Ref WIX","Bastones rectos de brocoli","Estacional","Bastones clasicos - Sigilo","Bastones clasicos","Medio",12.5,"5 X 2,5 KG",5,2.5,"fea00d6f87d3f80808e9e8d1b501120a",204,2.7,395,296,184,400,301.4,189.4,1800,800,1200,9,2,3,54,0.7135645,21513280,22834064,1728000000,1.4028,0.06,730,104.387767584098,19719,0,15880,0,35599,0,0,35599,0,0,0,0,660,0,0,660,0,0,21359.4,0,0,0,0,99000,0,0,99000,21359.4,9,100,TRUE,0.00165474534798971
"BR0120","Rosti de brocoli - clasico - Caja de 11 packs de 1 kg | Ref MMY","Rosti de brocoli","Forma estable","Guarniciones - Legumes Croquetas","Guarniciones","Forma",11,"11 X 1 KG",11,1,"1333ec917a8a6111a3fac88649307892",9,4.6,380,287,219,389.2,296.2,228.2,1800,800,1200,7,2,4,56,0.852545987481481,23884140,26307133.328,1728000000,1.3708,0.1,1450,202.615698267074,439,0,0,0,439,439,0,0,0,0,8,0,0,0,0,8,338.03,0,0,0,0,1200,0,0,0,0,1200,338.03,7,66,TRUE,1.83803980381961e-05
"BR0121","16 bolsas de 0,75 kg | Brocoli en rejilla","Brocoli en rejilla","Forma estable","Bastones clasicos - Sigilo","Bastones clasicos","Forma",12,"16 X 0,75 KG",16,0.75,"c98f51071fa8c135d7071023f6b23ac0",161,4.1,388,288,348,396.2,296.2,356.2,1800,800,1200,5,2,4,40,0.967630822407407,38886912,41801651.528,1728000000,1.3848,0.08,1200,169.394495412844,0,12373,0,0,12373,0,12373,0,0,0,0,310,0,0,0,310,0,8846.695,0,0,0,0,46500,0,0,0,46500,8846.695,5,48,TRUE,0.000318179031546655
"BR0122","16 bolsas de 0,75 kg | Espirales de brocoli","Espirales de brocoli","Forma estable","Bastones clasicos - Sigilo","Bastones clasicos","Forma",12,"16 X 0,75 KG",16,0.75,"2358aed8ccfb64eb89ff5dcd9e30de7d",26,2.7,395,296,352,400,301.4,357.4,1800,800,1200,5,2,3,30,0.748058055555555,41155840,43088144,1728000000,1.4028,0.06,730,104.387767584098,0,14021,0,0,14021,0,14021,0,0,0,0,468,0,0,0,468,0,8412.6,0,0,0,0,70200,0,0,0,70200,8412.6,5,48,TRUE,0.000340680690759805
"BR0123","BonsaiGreen Brocoli zigzag 13 x 1 kg","Brocoli zigzag","Forma estable","Bastones clasicos - Sigilo","Bastones clasicos","Forma",13,"13 X 1 KG",13,1,"0835ff365412a67b720a19713ec250f3",3,4.1,386,286,278,394.2,294.2,286.2,1800,800,1200,6,2,4,48,0.921990438,30690088,33191655.768,1728000000,1.3768,0.08,1200,168.415902140673,1,9195,0,0,9196,0,0,0,0,9196,0,0,0,0,192,192,0,0,0,0,6575.14,0,0,0,0,28800,28800,6575.14,6,65,TRUE,0.000299640717876078
"BR0124","16 bolsas de 0,75 kg | Espirales de brocoli","Espirales de brocoli","Forma estable","Bastones clasicos - Sigilo","Bastones clasicos","Forma",12,"16 X 0,75 KG",16,0.75,"2358aed8ccfb64eb89ff5dcd9e30de7d",26,2.7,395,296,352,400,301.4,357.4,1800,800,1200,5,2,3,30,0.748058055555555,41155840,43088144,1728000000,1.4028,0.06,730,104.387767584098,0,12307,0,0,12307,0,12307,0,0,0,0,411,0,0,0,411,0,7384.2,0,0,0,0,61650,0,0,0,61650,7384.2,5,48,TRUE,0.000299034110347401
"BR0125","Gajos de brocoli - con cabo - Caja de 13 packs de 1 kg","Gajos de brocoli","Forma estable","Bastones clasicos - Reserva Privada","Bastones clasicos","Forma",13,"13 X 1 KG",13,1,"a699f7e10a026261e599215bbbee0cbc",126,4.8,380,282,202,389.6,291.6,211.6,1800,800,1200,8,2,4,64,0.890345088,21646320,24039317.376,1728000000,1.3624,0.1,1550,215.261977573904,16473,0,0,0,16473,0,4057,12416,0,0,0,64,194,0,0,258,0,3123.89,7822.08,0,0,0,9600,29100,0,0,38700,10945.97,8,91,TRUE,0.000761006951759006
"BR0126","13 bolsas de 1 kg | Bastones rectos de brocoli 6x6 mm","Bastones rectos de brocoli","Estacional","Bastones clasicos - Legumes Frites","Bastones clasicos","Fino",13,"13 X 1 KG",13,1,"aaf392f3c544855a81cee5b4895b3983",131,4.8,380,282,256,389.6,291.6,265.6,1800,800,1200,6,2,4,48,0.838169856,27432960,30174114.816,1728000000,1.3624,0.1,1550,215.261977573904,0,58942,0,0,58942,58942,0,0,0,0,1228,0,0,0,0,1228,37133.46,0,0,0,0,184200,0,0,0,0,184200,37133.46,6,65,TRUE,0.00214858331000373
"BR0127","Gajos de brocoli - clasico - Caja de 13 packs de 1 kg","Gajos de brocoli","Forma estable","Bastones clasicos - Reserva Privada","Bastones clasicos","Forma",13,"13 X 1 KG",13,1,"a699f7e10a026261e599215bbbee0cbc",126,4.8,380,282,202,389.6,291.6,211.6,1800,800,1200,8,2,4,64,0.890345088,21646320,24039317.376,1728000000,1.3624,0.1,1550,215.261977573904,0,67606,0,0,67606,0,0,67606,0,0,0,0,1057,0,0,1057,0,0,42591.78,0,0,0,0,158550,0,0,158550,42591.78,8,91,TRUE,0.00312320985737991
"BR0128","BonsaiPremium Bastones rectos de brocoli 9x18 mm 5 x 2,5 kg | Ref OWN","Bastones rectos de brocoli","Estacional","Bastones clasicos - Reserva Privada","Bastones clasicos","Corte steak",12.5,"5 X 2,5 KG",5,2.5,"f95687311339e4b9b0ef5622b26fd941",199,2.7,393,255,209,398.4,260.4,214.4,1800,800,1200,8,2,4,64,0.823799125333333,20944935,22242576.384,1728000000,1.3176,0.06,730,98.0477064220183,5523,0,0,0,5523,0,0,0,5523,0,0,0,0,87,0,87,0,0,0,2319.66,0,0,0,0,13050,0,13050,2319.66,8,87.5,TRUE,0.000263691436617015
"BR0129","5 bolsas de 2,5 kg | Bastones rectos de brocoli 9x9 mm | Ref EG9","Bastones rectos de brocoli","Estacional","Bastones clasicos - Legumes Frites","Bastones clasicos","Medio",12.5,"5 X 2,5 KG",5,2.5,"f95687311339e4b9b0ef5622b26fd941",199,2.7,393,255,209,398.4,260.4,214.4,1800,800,1200,8,2,4,64,0.823799125333333,20944935,22242576.384,1728000000,1.3176,0.06,730,98.0477064220183,2589,0,0,0,2589,0,0,0,2589,0,0,0,0,41,0,41,0,0,0,1087.38,0,0,0,0,6150,0,6150,1087.38,8,87.5,TRUE,0.00012360983693671
"BR0130","Espirales de brocoli - clasico - Caja de 13 packs de 0,75 kg | Ref G3W","Espirales de brocoli","Forma estable","Bastones clasicos - Sigilo","Bastones clasicos","Forma",9.75,"13 X 0,75 KG",13,0.75,"4989f7c44b56191eebb2c0b95763c0db",54,2.7,395,296,250,400,301.4,255.4,1800,800,1200,7,2,3,42,0.748392944444444,29230000,30791024,1728000000,1.4028,0.06,730,104.387767584098,0,116047,0,0,116047,0,116047,0,0,0,0,2764,0,0,0,2764,0,55702.56,0,0,0,0,414600,0,0,0,414600,55702.56,7,58.5,TRUE,0.0039701334245638
"BR0131","Bastones rectos de brocoli - clasico - Caja de 13 packs de 1,25 kg","Bastones rectos de brocoli","Estacional","Bastones clasicos - Sigilo","Bastones clasicos","Grueso",16.25,"13 X 1,25 KG",13,1.25,"3256a5fed07b421a92abee44a3d93243",34,2.7,395,296,260,400,301.4,265.4,1800,800,1200,6,2,3,36,0.666596333333333,30399200,31996624,1728000000,1.4028,0.06,730,104.387767584098,0,49927,0,0,49927,0,0,0,0,49927,0,0,0,0,1387,1387,0,0,0,0,29956.2,0,0,0,0,208050,208050,29956.2,6,81.25,TRUE,0.00164237874680913
"BR0132","Croquetas de brocoli - clasico - Caja de 11 packs de 1 kg","Croquetas de brocoli","Forma estable","Guarniciones - Legumes Croquetas","Guarniciones","Forma",11,"11 X 1 KG",11,1,"34dbd33aabcf7123c6ee197304f6312d",37,2.7,395,245,230,400,250.4,235.4,1800,800,1200,7,2,4,56,0.764090962962963,22258250,23577664,1728000000,1.3008,0.06,730,96.7975535168196,44079,0,0,0,44079,6883,15672,10257,5166,6101,123,280,184,93,109,789,4542.78,9403.2,6769.62,3409.56,4026.66,18450,42000,27600,13950,16350,118350,28151.82,7,66,TRUE,0.00198034436669549
"BR0133","5 bolsas de 2,5 kg | Croquetas de brocoli","Croquetas de brocoli","Forma estable","Guarniciones - Legumes Croquetas","Guarniciones","Forma",12.5,"5 X 2,5 KG",5,2.5,"34dbd33aabcf7123c6ee197304f6312d",37,2.7,395,245,230,400,250.4,235.4,1800,800,1200,7,2,4,56,0.764090962962963,22258250,23577664,1728000000,1.3008,0.06,730,96.7975535168196,17249,0,117,0,17366,2712,6174,4041,2035,2404,49,111,73,37,43,313,1789.92,3704.4,2667.06,1343.1,1586.64,7350,16650,10950,5550,6450,46950,11091.12,7,75,TRUE,0.000780205092493794
"BR0134","11 bolsas de 1,25 kg | Bastones rectos de brocoli | Ref GRR","Bastones rectos de brocoli","Estacional","Bastones clasicos - Sigilo","Bastones clasicos","Medio",13.75,"11 X 1,25 KG",11,1.25,"b10375e57c7a7f209de7bf3aec5aa29f",141,4.1,386,286,268,394.2,294.2,276.2,1800,800,1200,6,2,4,48,0.889775538,29586128,32031919.368,1728000000,1.3768,0.08,1200,168.415902140673,0,0,913986,1620,915606,827898,0,87708,0,0,17248,0,1828,0,0,19076,376693.59,0,51309.18,0,0,2587200,0,274200,0,0,2861400,428002.77,6,68.75,TRUE,0.0309471384697585
"BR0135","5 bolsas de 2,5 kg | Bastones rectos de brocoli 6x6 mm | Ref WKT","Bastones rectos de brocoli","Estacional","Bastones clasicos - Legumes Frites","Bastones clasicos","Fino",12.5,"5 X 2,5 KG",5,2.5,"e205014ff79e36431f829f1fab46061c",182,4.1,388,288,273,396.2,296.2,281.2,1800,800,1200,6,2,4,48,0.916668570222222,30506112,33000068.528,1728000000,1.3848,0.08,1200,169.394495412844,1,0,46668,0,46669,46669,0,0,0,0,973,0,0,0,0,973,30334.85,0,0,0,0,145950,0,0,0,0,145950,30334.85,6,62.5,TRUE,0.00152982458072664
"BR0136","Bastones rectos de brocoli 9x9 mm - clasico - Caja de 5 packs de 2,5 kg | Ref R5M","Bastones rectos de brocoli","Estacional","Bastones clasicos - Reserva Privada","Bastones clasicos","Medio",12.5,"5 X 2,5 KG",5,2.5,"4d0dc68792c8a76defd00faaff677665",57,4.6,379,281,289,388.2,290.2,298.2,1800,800,1200,6,2,4,48,0.933164218,30778211,33593911.848,1728000000,1.3568,0.1,1450,200.546381243629,2,0,175960,0,175962,101927,74035,0,0,0,2124,1543,0,0,0,3667,57079.12,46642.05,0,0,0,318600,231450,0,0,0,550050,103721.17,6,62.5,TRUE,0.00571709642253086
"BR0136XL","Bastones rectos de brocoli 9x9 mm - clasico - Caja de 5 packs de 2,5 kg | Ref R5M XL","Bastones rectos de brocoli","Estacional","Bastones clasicos - Reserva Privada","Bastones clasicos","Medio",12.5,"5 X 2,5 KG",5,2.5,"584c93c412f45cd05fb6c4c753038aa1",69,4.6,379,285,289,388.2,294.2,298.2,1800,800,1200,6,2,4,48,0.946026578,31216335,34056956.808,1728000000,1.3648,0.1,1450,201.728848114169,2,0,188628,0,188630,109265,79365,0,0,0,2277,1654,0,0,0,3931,61188.4,49999.95,0,0,0,341550,248100,0,0,0,589650,111188.35,6,62.5,TRUE,0.00604266964715749
"BR0137","Bastones rectos de brocoli 6x6 mm - clasico - Caja de 5 packs de 2,5 kg | Ref BLU","Bastones rectos de brocoli","Estacional","Bastones clasicos - Reserva Privada","Bastones clasicos","Fino",12.5,"5 X 2,5 KG",5,2.5,"cd9c1ebb698c60a0d79bc82cf70c2404",165,2.7,393,255,311,398.4,260.4,316.4,1800,800,1200,5,2,4,40,0.759824053333333,31166865,32824399.104,1728000000,1.3176,0.06,730,98.0477064220183,591,0,371434,676,372701,0,347390,25311,0,0,0,8685,633,0,0,9318,0,166747.2,15186.6,0,0,0,1302750,94950,0,0,1397700,181933.8,5,50,TRUE,0.0119582447576938
"BR0138","2 bolsas de 2,5 kg | Rosti de brocoli","Rosti de brocoli","Forma estable","Guarniciones - Legumes Croquetas","Guarniciones","Forma",5,"2 X 2,5 KG",2,2.5,"25b51ca97d24c6dd7fdc2fd6f9551dac",29,4.6,380,252,144,389.2,261.2,153.2,1800,800,1200,11,2,4,88,0.793128769481481,13789440,15574164.928,1728000000,1.3008,0.1,1450,192.269113149847,1754,0,0,0,1754,1754,0,0,0,0,20,0,0,0,0,20,1227.8,0,0,0,0,3000,0,0,0,0,3000,1227.8,11,50,TRUE,0.00012719878399703
"BR0139","BonsaiPremium Rodajas de brocoli con cabo 5 x 1,75 kg","Rodajas de brocoli","Forma estable","Bastones clasicos - Reserva Privada","Bastones clasicos","Forma",8.75,"5 X 1,75 KG",5,1.75,"c9eb200a8d16b9dc82e130d6874c099c",162,2.7,395,296,270,400,301.4,275.4,1800,800,1200,6,2,3,36,0.691713,31568400,33202224,1728000000,1.4028,0.06,730,104.387767584098,68737,640,2371,0,71748,0,71748,0,0,0,0,1993,0,0,0,1993,0,38743.92,0,0,0,0,298950,0,0,0,298950,38743.92,6,43.75,TRUE,0.00227277910822215
"BR0140","Brocoli en rejilla - clasico - Caja de 13 packs de 0,5 kg | Ref SDH","Brocoli en rejilla","Forma estable","Bastones clasicos - Sigilo","Bastones clasicos","Forma",6.5,"13 X 0,5 KG",13,0.5,"5914abeae491eab8612131985b15994f",70,4.1,386,286,239,394.2,294.2,247.2,1800,800,1200,7,2,4,56,0.929077716,26384644,28668683.808,1728000000,1.3768,0.08,1200,168.415902140673,0,16510,0,0,16510,0,16510,0,0,0,0,295,0,0,0,295,0,8585.2,0,0,0,0,44250,0,0,0,44250,8585.2,7,39,TRUE,0.00062574276158511
"BR0141","13 bolsas de 0,5 kg | Brocoli en rejilla | Ref QNX","Brocoli en rejilla","Forma estable","Bastones clasicos - Sigilo","Bastones clasicos","Forma",6.5,"13x0,5 kg",13,0.5,"5914abeae491eab8612131985b15994f",70,4.1,386,286,239,394.2,294.2,247.2,1800,800,1200,7,2,4,56,0.929077716,26384644,28668683.808,1728000000,1.3768,0.08,1200,168.415902140673,0,57749,0,0,57749,0,57749,0,0,0,0,1032,0,0,0,1032,0,30029.48,0,0,0,0,154800,0,0,0,154800,30029.48,7,39,TRUE,0.00218873523554079
"BR0142","Brocoli en rejilla - clasico - Caja de 11 packs de 1 kg | Ref M9P","Brocoli en rejilla","Forma estable","Bastones clasicos - Sigilo","Bastones clasicos","Forma",11,"11X1,0 KG",11,1,"8f26468860664ecfed551104179d7f3e",106,4.1,386,286,318,394.2,294.2,326.2,1800,800,1200,5,2,4,40,0.875708365,35105928,37830601.368,1728000000,1.3768,0.08,1200,168.415902140673,29780,0,0,0,29780,0,29780,0,0,0,0,745,0,0,0,745,0,19357,0,0,0,0,111750,0,0,0,111750,19357,5,44,TRUE,0.000848289781714359
"BR0143","Bastones rectos de brocoli 6x6 mm - clasico - Caja de 5 packs de 2,5 kg | Ref GW8","Bastones rectos de brocoli","Estacional","Bastones clasicos - Reserva Privada","Bastones clasicos","Fino",12.5,"5 X 2,5 KG",5,2.5,"cc0d190e9c91b2ee40868981c9f6d0f6",164,4.8,380,282,266,389.6,291.6,275.6,1800,800,1200,6,2,4,48,0.869727456,28504560,31310188.416,1728000000,1.3624,0.1,1550,215.261977573904,1,0,280408,0,280409,0,0,0,280409,0,0,0,0,5842,0,5842,0,0,0,157029.04,0,0,0,0,876300,0,876300,157029.04,6,62.5,TRUE,0.0098373383065727
"BR0144","5 bolsas de 2,5 kg | Bastones rectos de brocoli 6x6 mm | Ref RXH","Bastones rectos de brocoli","Estacional","Bastones clasicos - Reserva Privada","Bastones clasicos","Fino",12.5,"5 X 2,5 KG",5,2.5,"1e68edd4dd3edf793634e204ec225c3b",20,4.8,380,282,215,389.6,291.6,224.6,1800,800,1200,8,2,4,64,0.945044928,23039400,25516213.056,1728000000,1.3624,0.1,1550,215.261977573904,145057,0,142,0,145199,0,0,0,145199,0,0,0,0,2269,0,2269,0,0,0,81311.44,0,0,0,0,340350,0,340350,81311.44,8,87.5,TRUE,0.0063022040504527
"BR0145","BonsaiPremium Bastones rectos de brocoli 9x9 mm 5 x 2,5 kg | Ref AS7","Bastones rectos de brocoli","Estacional","Bastones clasicos - Reserva Privada","Bastones clasicos","Medio",12.5,"5 X 2,5 KG",5,2.5,"952d7cb277c22fee189451276b46d536",110,4.1,388,288,179,396.2,296.2,187.2,1800,800,1200,9,2,4,72,0.915364632,20002176,21968751.168,1728000000,1.3848,0.08,1200,169.394495412844,75881,0,6659,0,82540,0,54263,4459,23818,0,0,754,62,331,0,1147,0,31743.855,3188.185,15481.7,0,0,113100,9300,49650,0,172050,50413.74,9,100,TRUE,0.0041265510312478
"BR0146","Bastones rectos de brocoli 9x18 mm - clasico - Caja de 5 packs de 2,5 kg","Bastones rectos de brocoli","Estacional","Bastones clasicos - Reserva Privada","Bastones clasicos","Corte steak",12.5,"5 X 2,5 KG",5,2.5,"ddc544b82bb095f53666029f60d7e482",180,4.5,391,296,173,400,305,182,1800,800,1200,9,2,3,54,0.693875,20022328,22204000,1728000000,1.41,0.08,1400,201.223241590214,72723,0,612,0,73335,0,16673,0,56662,0,0,309,0,1050,0,1359,0,11921.195,0,33147.27,0,0,46350,0,157500,0,203850,45068.465,9,100,TRUE,0.00366266100525373
